capture,requestType,model,live,inputTokens,outputTokens,totalTokens,cachedTokens,latencyMs,requestChars,estimatedInputTokens,canonicalTruthChars,currentTruthObjects,historyCount,projectBlockChars,captureContextChars,captureContextHistoryChars
21,capture_extract,deterministic-oracle-envelope,false,,,,,1,4720,1384,2716,28,25,2716,12521,1539
22,capture_extract,deterministic-oracle-envelope,false,,,,,2,5094,1505,3182,30,27,3182,13459,1825
23,capture_extract,deterministic-oracle-envelope,false,,,,,2,5251,1562,3323,31,28,3323,13400,1583
24,capture_extract,deterministic-oracle-envelope,false,,,,,1,5467,1639,3555,33,30,3555,14308,2098
25,capture_extract,deterministic-oracle-envelope,false,,,,,2,5697,1712,3696,34,31,3696,14227,1825
25,ask_context,deterministic-oracle-envelope,false,,,,,0,5902,1990,5902,36,33,0,5902,0
25,ask_context,deterministic-oracle-envelope,false,,,,,1,5901,1991,5901,36,33,0,5901,0
25,ask_context,deterministic-oracle-envelope,false,,,,,1,5885,1988,5885,36,33,0,5885,0
25,ask_context,deterministic-oracle-envelope,false,,,,,0,5903,1990,5903,36,33,0,5903,0
25,ask_context,deterministic-oracle-envelope,false,,,,,1,7367,2450,7367,36,33,0,7367,0
25,analyse_probe,deterministic-oracle-envelope,false,,,,,1,5837,1760,3926,36,33,3926,5837,0
25,analyse_probe,deterministic-oracle-envelope,false,,,,,0,5845,1766,3926,36,33,3926,5845,0
26,capture_extract,deterministic-oracle-envelope,false,,,,,2,5846,1772,3926,36,33,3926,15114,1941
27,capture_extract,deterministic-oracle-envelope,false,,,,,1,5900,1773,3926,36,34,3926,14953,1799
28,capture_extract,deterministic-oracle-envelope,false,,,,,1,5885,1773,3926,36,34,3926,15321,2143
29,capture_extract,deterministic-oracle-envelope,false,,,,,1,5890,1770,3926,36,34,3926,15172,1987
30,capture_extract,deterministic-oracle-envelope,false,,,,,2,5857,1765,3926,37,35,3926,15681,2077
31,capture_extract,deterministic-oracle-envelope,false,,,,,1,5889,1770,3926,37,35,3926,15720,2109
32,capture_extract,deterministic-oracle-envelope,false,,,,,2,5838,1763,3926,38,36,3926,16026,2018
33,capture_extract,deterministic-oracle-envelope,false,,,,,2,5945,1785,3926,38,37,3926,15622,1630
34,capture_extract,deterministic-oracle-envelope,false,,,,,2,6100,1837,4174,39,38,4174,16064,1756
35,capture_extract,deterministic-oracle-envelope,false,,,,,2,6236,1878,4329,40,39,4329,16419,1857
36,capture_extract,deterministic-oracle-envelope,false,,,,,1,6267,1888,4329,39,40,4329,16440,1886
37,capture_extract,deterministic-oracle-envelope,false,,,,,1,6399,1932,4496,40,41,4496,16952,2135
38,capture_extract,deterministic-oracle-envelope,false,,,,,1,6413,1940,4496,40,41,4496,16846,2015
39,capture_extract,deterministic-oracle-envelope,false,,,,,1,6388,1933,4496,40,41,4496,16896,2053
40,capture_extract,deterministic-oracle-envelope,false,,,,,2,6450,1949,4496,40,41,4496,16908,2067
41,capture_extract,deterministic-oracle-envelope,false,,,,,2,6443,1940,4496,41,42,4496,17109,1890
42,capture_extract,deterministic-oracle-envelope,false,,,,,1,6418,1938,4496,39,44,4496,17351,2090
43,capture_extract,deterministic-oracle-envelope,false,,,,,1,6462,1952,4496,39,44,4496,17140,1900
44,capture_extract,deterministic-oracle-envelope,false,,,,,1,6669,2016,4691,40,45,4691,17422,1900
45,capture_extract,deterministic-oracle-envelope,false,,,,,3,6662,2024,4691,40,45,4691,17555,2026
46,capture_extract,deterministic-oracle-envelope,false,,,,,1,6661,2019,4691,40,45,4691,17542,2019
47,capture_extract,deterministic-oracle-envelope,false,,,,,1,6744,2034,4691,40,45,4691,17628,2105
48,capture_extract,deterministic-oracle-envelope,false,,,,,1,6730,2031,4691,40,45,4691,17401,1910
49,capture_extract,deterministic-oracle-envelope,false,,,,,1,6949,2094,4959,41,46,4959,17719,1852
50,capture_extract,deterministic-oracle-envelope,false,,,,,2,6854,2074,4959,41,46,4959,17979,2091
50,ask_context,deterministic-oracle-envelope,false,,,,,0,7101,2358,7101,41,46,0,7101,0
50,ask_context,deterministic-oracle-envelope,false,,,,,0,7100,2359,7100,41,46,0,7100,0
50,ask_context,deterministic-oracle-envelope,false,,,,,0,7084,2356,7084,41,46,0,7084,0
50,ask_context,deterministic-oracle-envelope,false,,,,,0,7102,2358,7102,41,46,0,7102,0
50,ask_context,deterministic-oracle-envelope,false,,,,,0,8568,2856,8568,41,46,0,8568,0
50,analyse_probe,deterministic-oracle-envelope,false,,,,,1,6870,2076,4959,41,46,4959,6870,0
50,analyse_probe,deterministic-oracle-envelope,false,,,,,0,6878,2082,4959,41,46,4959,6878,0
51,capture_extract,deterministic-oracle-envelope,false,,,,,1,6866,2077,4959,41,46,4959,18063,2177
52,capture_extract,deterministic-oracle-envelope,false,,,,,1,6921,2093,4959,41,46,4959,17766,1904
53,capture_extract,deterministic-oracle-envelope,false,,,,,1,6881,2083,4959,41,47,4959,18042,2139
54,capture_extract,deterministic-oracle-envelope,false,,,,,1,6900,2082,4959,41,47,4959,17914,2017
55,capture_extract,deterministic-oracle-envelope,false,,,,,1,6920,2088,4959,40,48,4959,17832,1956
56,capture_extract,deterministic-oracle-envelope,false,,,,,2,6900,2082,4959,40,48,4959,17782,1897
57,capture_extract,deterministic-oracle-envelope,false,,,,,1,7041,2133,5129,41,49,5129,18143,1992
58,capture_extract,deterministic-oracle-envelope,false,,,,,2,7005,2123,5129,41,50,5129,17954,1803
59,capture_extract,deterministic-oracle-envelope,false,,,,,1,7031,2128,5129,40,51,5129,18162,2014
60,capture_extract,deterministic-oracle-envelope,false,,,,,2,7169,2174,5260,41,52,5260,18392,2013
61,capture_extract,deterministic-oracle-envelope,false,,,,,2,7295,2217,5398,43,53,5398,18958,2052
62,capture_extract,deterministic-oracle-envelope,false,,,,,2,7305,2218,5398,43,54,5398,18873,1976
63,capture_extract,deterministic-oracle-envelope,false,,,,,2,7314,2225,5398,41,56,5398,18978,2049
64,capture_extract,deterministic-oracle-envelope,false,,,,,2,7362,2236,5398,41,57,5398,18773,1854
65,capture_extract,deterministic-oracle-envelope,false,,,,,1,7335,2227,5398,41,58,5398,18837,1929
66,capture_extract,deterministic-oracle-envelope,false,,,,,1,7326,2225,5398,41,58,5398,18890,1970
67,capture_extract,deterministic-oracle-envelope,false,,,,,2,7289,2218,5398,41,58,5398,18783,1880
68,capture_extract,deterministic-oracle-envelope,false,,,,,3,7365,2233,5398,41,58,5398,19042,2115
69,capture_extract,deterministic-oracle-envelope,false,,,,,1,7362,2234,5398,42,59,5398,19326,1989
70,capture_extract,deterministic-oracle-envelope,false,,,,,2,7287,2218,5398,42,60,5398,19175,1873
71,capture_extract,deterministic-oracle-envelope,false,,,,,2,7467,2278,5516,42,62,5516,19406,1878
72,capture_extract,deterministic-oracle-envelope,false,,,,,2,7444,2274,5516,42,62,5516,19490,1964
73,capture_extract,deterministic-oracle-envelope,false,,,,,1,7431,2272,5516,42,62,5516,19613,2073
74,capture_extract,deterministic-oracle-envelope,false,,,,,1,7458,2272,5516,42,62,5516,19408,1886
75,capture_extract,deterministic-oracle-envelope,false,,,,,1,7484,2278,5516,42,62,5516,19689,2159
75,ask_context,deterministic-oracle-envelope,false,,,,,0,7081,2363,7081,42,62,0,7081,0
75,ask_context,deterministic-oracle-envelope,false,,,,,0,7080,2364,7080,42,62,0,7080,0
75,ask_context,deterministic-oracle-envelope,false,,,,,0,7064,2361,7064,42,62,0,7064,0
75,ask_context,deterministic-oracle-envelope,false,,,,,1,7082,2363,7082,42,62,0,7082,0
75,ask_context,deterministic-oracle-envelope,false,,,,,1,8678,2904,8678,42,62,0,8678,0
75,analyse_probe,deterministic-oracle-envelope,false,,,,,0,7427,2266,5516,42,62,5516,7427,0
75,analyse_probe,deterministic-oracle-envelope,false,,,,,1,7435,2272,5516,42,62,5516,7435,0
75,analyse_probe,deterministic-oracle-envelope,false,,,,,0,7462,2272,5516,42,62,5516,7462,0
76,capture_extract,deterministic-oracle-envelope,false,,,,,3,7439,2270,5516,42,62,5516,19710,2163
77,capture_extract,deterministic-oracle-envelope,false,,,,,1,7394,2262,5516,42,62,5516,19573,2024
78,capture_extract,deterministic-oracle-envelope,false,,,,,2,7472,2285,5516,42,62,5516,19573,2024
79,capture_extract,deterministic-oracle-envelope,false,,,,,1,7460,2271,5516,42,62,5516,19378,1862
80,capture_extract,deterministic-oracle-envelope,false,,,,,1,7496,2282,5516,42,62,5516,1854,34
81,capture_extract,deterministic-oracle-envelope,false,,,,,2,7430,2267,5516,42,62,5516,19275,1750
82,capture_extract,deterministic-oracle-envelope,false,,,,,2,7448,2277,5516,42,62,5516,19503,1961
83,capture_extract,deterministic-oracle-envelope,false,,,,,1,7425,2266,5516,42,62,5516,19491,1982
84,capture_extract,deterministic-oracle-envelope,false,,,,,2,7551,2296,5516,42,62,5516,19746,2194
85,capture_extract,deterministic-oracle-envelope,false,,,,,2,7431,2267,5516,43,63,5516,19917,1926
86,capture_extract,deterministic-oracle-envelope,false,,,,,2,7513,2301,5594,44,64,5594,19816,1712
87,capture_extract,deterministic-oracle-envelope,false,,,,,2,7682,2357,5742,45,65,5742,20249,1890
88,capture_extract,deterministic-oracle-envelope,false,,,,,1,7824,2404,5911,46,66,5911,20380,1795
89,capture_extract,deterministic-oracle-envelope,false,,,,,2,7794,2397,5911,46,66,5911,20169,1581
90,capture_extract,deterministic-oracle-envelope,false,,,,,1,7849,2413,5911,45,67,5911,20498,1901
91,capture_extract,deterministic-oracle-envelope,false,,,,,1,7839,2406,5911,45,67,5911,20612,2021
92,capture_extract,deterministic-oracle-envelope,false,,,,,2,7813,2402,5911,45,67,5911,20305,1698
93,capture_extract,deterministic-oracle-envelope,false,,,,,3,7844,2403,5911,43,69,5911,19800,1565
94,capture_extract,deterministic-oracle-envelope,false,,,,,1,7828,2404,5911,40,72,5911,19401,2034
95,capture_extract,deterministic-oracle-envelope,false,,,,,1,8172,2492,5911,41,73,5911,19869,2083
96,capture_extract,deterministic-oracle-envelope,false,,,,,3,8008,2443,5911,41,73,5911,19698,1876
97,capture_extract,deterministic-oracle-envelope,false,,,,,3,8167,2496,6239,40,76,6239,19669,1962
98,capture_extract,deterministic-oracle-envelope,false,,,,,2,8199,2500,6239,37,79,6239,19275,2177
99,capture_extract,deterministic-oracle-envelope,false,,,,,2,8196,2505,6239,36,80,6239,19258,2115
100,capture_extract,deterministic-oracle-envelope,false,,,,,3,8520,2596,6425,37,81,6425,19429,2210
100,ask_context,deterministic-oracle-envelope,false,,,,,0,6717,2203,6717,38,82,0,6717,0
100,ask_context,deterministic-oracle-envelope,false,,,,,0,6716,2204,6716,38,82,0,6716,0
100,ask_context,deterministic-oracle-envelope,false,,,,,0,6700,2201,6700,38,82,0,6700,0
100,ask_context,deterministic-oracle-envelope,false,,,,,0,6718,2203,6718,38,82,0,6718,0
100,ask_context,deterministic-oracle-envelope,false,,,,,0,8475,2796,8475,38,82,0,8475,0
100,analyse_probe,deterministic-oracle-envelope,false,,,,,0,8336,2554,6425,38,82,6425,8336,0
100,analyse_probe,deterministic-oracle-envelope,false,,,,,1,8344,2560,6425,38,82,6425,8344,0
100,analyse_probe,deterministic-oracle-envelope,false,,,,,0,8371,2560,6425,38,82,6425,8371,0
